Tarot Card,Archetype,Darketype,TED Talk,notes
Ace of Pentacles,"New financial beginnings, prosperity, and opportunity.","Missed chances, greed, or instability.",Michael Norton: How to Buy Happiness,
Three of Pentacles,"Teamwork, collaboration, and craftsmanship.",Lack of teamwork or poor planning.,https://www.ted.com/talks/tom_wujec_build_a_tower_build_a_team,"@May 10, 2025 "
Two of Pentacles,"Balance, adaptability, and time management.",Overcommitment or financial stress.,David Allen: The Art of Stress-Free Productivity,"@July 14, 2025 unique for sure"
Five of Pentacles,"Financial loss, hardship, and struggle.","Despair, isolation, or helplessness.","https://www.ted.com/talks/mandy_len_catron_a_better_way_to_talk_about_love
https://www.ted.com/talks/al_vernacchio_sex_needs_a_new_metaphor_here_s_one","@June 22, 2025, one day after the day i deleted Carlee from my calendar to symbolize NO MORE EFFORT to reach out and connect with her!
after watching… i thought of the pizza metaphor for sex also!"
Four of Pentacles,"Saving, security, and control.",Greed or fear of financial loss.,https://www.ted.com/talks/adam_grant_the_surprising_habits_of_original_thinkers,"@June 26, 2025 love this on procrastinating!!"
Six of Pentacles,"Generosity, charity, and financial balance.",Power imbalance or strings attached.,"Peter Singer: The Why and How of Effective Altruism
",https://youtu.be/ZwGEQcFo9RE?si=98H3XE4ddFaXE-IE
Eight of Pentacles,"Mastery, skill development, and diligence.",Perfectionism or overworking.,Angela Duckworth: Grit: The Power of Passion and Perseverance,maybe Gutmann’s talk about leadership: https://www.youtube.com/watch?v=b0Z9IpTVfUg
Nine of Pentacles,"Independence, luxury, and self-sufficiency.",Materialism or isolation.,Paul Piff: Does Money Make You Mean?,
Seven of Pentacles,"Patience, long-term investment, and growth.","Impatience, lack of progress, or wasted effort.",Bill Gross: The Single Biggest Reason Why Startups Succeed,"@July 26, 2025 @September 14, 2025 again @October 15, 2025 wow!"
Page of Pentacles,"Ambition, learning, and new opportunities.",Lack of follow-through or procrastination.,Carol Dweck: The Power of Believing That You Can Improve,
Knight of Pentacles,"Hard work, responsibility, and reliability.",Stubbornness or resistance to change.,https://www.ted.com/talks/simon_sinek_why_good_leaders_make_you_feel_safe,"@April 7, 2025 brilliant… leadership @June 14, 2025 @September 25, 2025 "
Ten of Pentacles,"Legacy, financial security, and long-term success.",Family conflicts over money or business.,https://www.ted.com/talks/chip_conley_what_baby_boomers_can_learn_from_millennials_at_work_and_vice_versa,"@July 6, 2025 and again @July 7, 2025… persistent card. and I resist the talk cause old white guy trying to argue his relevance. but my family watched with me and enjoyed it and appreciated it too"
King of Pentacles,"Success, wealth, and stability.","Greed, corruption, or being controlling.",https://www.ted.com/talks/ray_dalio_how_to_build_a_company_where_the_best_ideas_win,"@March 25, 2025, @May 15, 2025 "
Queen of Pentacles,"Nurturing, financial security, and practicality.",Overly controlling or neglecting self-care.,https://youtu.be/gmj-azFbpkA?si=Rwu4OB-JRwCdyQAN,"@March 20, 2025 "
