Tarot Card,Archetype,Darketype,TED Talk,notes
Ace of Wands,"New beginnings, inspiration, and potential.",Lack of direction or delays.,Elizabeth Gilbert: Your Elusive Creative Genius,
Three of Wands,"Expansion, foresight, and opportunity.",Playing small or unexpected delays.,Derek Sivers: How to Start a Movement,"@May 31, 2025 "
Two of Wands,"Planning, decision-making, and progress.",Fear of the unknown or lack of planning.,https://www.ted.com/talks/tim_ferriss_why_you_should_define_your_fears_instead_of_your_goals,"@June 24, 2025 "
Five of Wands,"Conflict, competition, and challenges.",Avoidance or escalation of conflict.,Adam Galinsky: How to Speak Up for Yourself,"@June 3, 2025 "
Six of Wands,"Victory, recognition, and success.",Egotism or fall from grace.,https://www.ted.com/talks/dan_pink_the_puzzle_of_motivation,"@May 12, 2025 "
Four of Wands,"Celebration, harmony, and community.",Lack of communication or instability.,https://youtu.be/ppfONdsOkWI?si=lXHSNpbW5nxBLAEz,"@April 10, 2025 @May 28, 2025 "
Seven of Wands,"Perseverance, defense, and maintaining control.",Exhaustion or being overwhelmed.,https://www.youtube.com/watch?v=H14bBuluwB8,"@March 23, 2025 "
Eight of Wands,"Rapid action, movement, and swift change.",Hastiness or chaos.,https://www.ted.com/talks/jason_fried_why_work_doesn_t_happen_at_work,"@March 24, 2025 "
Page of Wands,"Enthusiasm, exploration, and free spirit.",Lack of direction or immaturity.,Emilie Wapnick: Why Some of Us Don't Have One True Calling,"@July 19, 2025 "
Nine of Wands,"Resilience, courage, and persistence.",Paranoia or defensiveness.,Jia Jiang: What I Learned from 100 Days of Rejection,"fun and funny talk!
@September 29, 2025 "
Ten of Wands,"Burden, responsibility, and hard work.",Burnout or taking on too much.,Kelly McGonigal: How to Make Stress Your Friend,"@June 1, 2025 again @July 8, 2025 "
Knight of Wands,"Action, adventure, and impulsiveness.",Recklessness or impatience.,https://www.youtube.com/watch?v=DjcZrtcBZi4,"@April 3, 2025 FUCK YES!! this is potent!"
Queen of Wands,"Confidence, determination, and social influence.",Jealousy or selfishness.,Sheryl Sandberg: Why We Have Too Few Women Leaders,"@May 29, 2025 "
King of Wands,"Natural-born leader, vision, and entrepreneur.",Impulsiveness or ruthlessness.,Simon Sinek: How Great Leaders Inspire Action,"@July 18, 2025 "
