Tarot Card,Archetype,Darketype,TED Talk,notes
Ace of Swords,"Breakthroughs, clarity, and sharp mind.",Confusion or miscommunication.,https://www.youtube.com/watch?v=eIho2S0ZahI,"@April 2, 2025 lots of tools for speaking"
Two of Swords,"Indecision, stalemate, and difficult choices.",Avoidance or denial.,https://www.ted.com/talks/ruth_chang_how_to_make_hard_choices,"@May 7, 2025, @December 2, 2025 "
Three of Swords,"Heartbreak, sorrow, and emotional pain.",Holding onto pain or resentment.,"Esther Perel: Rethinking Infidelity – A Talk for Anyone Who Has Ever Loved

alt1: https://www.youtube.com/watch?v=Cw2qD87KDHc&ab_channel=TEDxTalks

alt2: https://www.ted.com/talks/nora_mcinerny_we_don_t_move_on_from_grief_we_move_forward_with_it?language=en&subtitle=en","what’s missing for me in these is that they are all about heartbreak from a breakup… not heartbreak from professional lives…
Gary’s @March 21, 2025 




Nora’s again @June 17, 2025 "
Four of Swords,"Rest, contemplation, and recovery.",Burnout or stagnation.,https://www.ted.com/talks/andy_puddicombe_all_it_takes_is_10_mindful_minutes,"@July 11, 2025 "
Six of Swords,"Transition, letting go, and moving forward.",Resistance to change or unfinished business.,https://www.ted.com/talks/pico_iyer_the_art_of_stillness,"@July 9, 2025, @October 6, 2025 "
Five of Swords,"Conflict, betrayal, and hollow victory.",Selfishness or unnecessary aggression.,Margaret Heffernan: The Dangers of 'Willful Blindness',"@April 9, 2025 @September 19, 2025 "
Seven of Swords,"Strategy, deception, and cunning.",Dishonesty or self-deception.,https://www.ted.com/talks/pamela_meyer_how_to_spot_a_liar,"watched on @March 21, 2025 
Book:Leadership & Self-Deception"
Eight of Swords,"Feeling trapped, self-imposed limitations.",Victim mindset or helplessness.,"https://youtu.be/QleRgTBMX88?si=V5QFW7yZCgrkNyth
Amy Cuddy: Your Body Language May Shape Who You Are","@November 27, 2025 "
Nine of Swords,"Anxiety, fear, and nightmares.",Overthinking or overwhelming stress.,Kelly McGonigal: How to Make Stress Your Friend,"@July 15, 2025 "
Ten of Swords,"Endings, collapse, and surrender.","Overkill, melodrama, or feeling like a victim.",https://www.ted.com/talks/brene_brown_listening_to_shame,"@April 5, 2025 supported by 7 wands & heading towards the Tower! again @August 16, 2025 "
Page of Swords,"Curiosity, new ideas, and thirst for knowledge.","Gossip, paranoia, or misinformation.",https://www.ted.com/talks/steven_johnson_where_good_ideas_come_from?language=en,"@May 30, 2025 LOVE THIS ONE!
again @June 22, 2025 "
Queen of Swords,"Intellect, clear communication, and independence.",Coldness or emotional detachment.,Celeste Headlee: 10 Ways to Have a Better Conversation,"@May 6, 2025 love this talk!!!! @June 13, 2025 "
Knight of Swords,"Ambition, quick thinking, and action.",Impulsiveness or recklessness.,Tim Urban: Inside the Mind of a Master Procrastinator,"@August 1, 2025 "
King of Swords,"Authority, truth, and mental clarity.",Manipulation or rigid thinking.,Sam Harris: Can We Build AI Without Losing Control Over It?,"@May 24, 2025 @May 26, 2025 "
