Tarot Card,Archetype,Darketype,TED Talk,notes
Ace of Cups,"New beginnings in love, compassion, and emotional fulfillment.",Emotional overwhelm or blocked feelings.,Brené Brown: The Power of Vulnerability,"@July 31, 2025 @September 1, 2025 "
Two of Cups,"Partnerships, mutual attraction, and harmonious relationships.",Co-dependency or imbalance in relationships.,"https://www.ted.com/talks/hannah_fry_the_mathematics_of_love
alt: https://www.ted.com/talks/carla_harris_how_to_find_the_person_who_can_help_you_get_ahead_at_work","

asked GPT to look for where Carla’s talk should go because its so damned awesome. found it because i was looking for something related to “immigration sponsorship” @June 14, 2025 
@July 29, 2025 Hannah's talk "
Three of Cups,"Celebration, friendship, and community support.",Excessive partying or gossip.,"https://www.youtube.com/watch?v=HSercnrqeN4
Robert Waldinger: What Makes a Good Life? Lessons from the Longest Study on Happiness",need a new one here!
Five of Cups,"Loss, grief, and focusing on the negative.",Inability to move on or dwelling on past mistakes.,"Elizabeth Gilbert: Success, Failure, and the Drive to Keep Creating

alt: BJ Miller: What really matters at the end of life","@September 27, 2025 "
Four of Cups,"Contemplation, reevaluation, and introspection.","Apathy, discontent, or missed opportunities.",https://www.ted.com/talks/megan_phelps_roper_i_grew_up_in_the_westboro_baptist_church_here_s_why_i_left,"@June 2, 2025 thoughtful… solution: talk & listen"
Six of Cups,"Nostalgia, childhood memories, and innocence.",Living in the past or refusing to grow up.,Steve Jobs: How to Live Before You Die,"@September 23, 2025 "
Eight of Cups,"Walking away, seeking deeper meaning, and introspection.",Avoidance or escapism.,https://youtu.be/YyBk55G7Keo?si=quCq94LRxVFwn1KU,"@September 8, 2025 "
Nine of Cups,"Contentment, satisfaction, and emotional fulfillment.",Complacency or overindulgence.,"https://www.ted.com/talks/ingrid_fetell_lee_where_joy_hides_and_how_to_find_it?language=en
original suggestion::Shawn Achor: The Happy Secret to Better Work
","@June 18, 2025 as support! 
BRILLIANT and fresh-ish 2018!"
Seven of Cups,"Choices, imagination, and wishful thinking.","Illusion, temptation, or lack of focus.",Dan Gilbert: https://www.ted.com/talks/dan_gilbert_the_surprising_science_of_happiness,"its a bit old (2004).. but still a goody.
probably worth looking at something more modern on the theme of imagination."
Queen of Cups,"Compassion, intuition, and nurturing.",Overemotional or martyrdom.,https://www.youtube.com/watch?v=c0KYU2j0TM4,"@July 10, 2025 "
Knight of Cups,"Romantic pursuit, idealism, and following one's heart.",Unrealistic ideals or fickleness.,https://www.ted.com/talks/esther_perel_the_secret_to_desire_in_a_long_term_relationship,"@July 28, 2025 "
Ten of Cups,"Harmony, family bliss, and lasting happiness.",Unrealistic expectations or superficial peace.,Robert Waldinger: What Makes a Good Life? Lessons from the Longest Study on Happiness,
Page of Cups,"Creative beginnings, emotional openness, and curiosity.",Emotional immaturity or escapism.,"https://www.ted.com/talks/eliza_lay_ryan_sparking_curiosity_connection_and_creativity
alt :: https://www.ted.com/talks/rose_cain_ignite_your_curiosity
Elizabeth Gilbert: Your Elusive Creative Genius","@June 18, 2025 Eliza, lovely… fresh 2019!

also @June 18, 2025 love this talk from Rose, about learning from Failure
@April 28, 2025 "
King of Cups,"Emotional balance, diplomacy, and generosity.",Emotional suppression or manipulation.,Daniel Goleman: Why Aren't We More Compassionate?,
